school,scholarships,other,year,total_expenses,building_and_grounds,coaching_staff
Colorado,5551814,12947632,2005,36614714,7089864,11025404
Oregon State,9451226,32748746,2014,73020003,10804851,20015180
Oregon State,8895563,26079888,2013,64185065,10373856,18835758
Oregon State,8455723,22192652,2012,57819032,10267556,16903101
Oregon State,7921752,21747273,2011,54589335,8735830,16184480
Oregon State,7716722,21360043,2010,52669946,8570532,15022649
Oregon State,7626316,23296144,2009,54576139,8806225,14847454
Oregon State,7360450,23856320,2008,52128314,7079295,13832249
Oregon State,6600658,28861395,2007,54910688,5343740,14104895
Oregon State,7089260,31466318,2006,55324993,4559359,12210056
Oregon State,6793797,18662510,2005,36106183,0,10649876
Mississippi State,7208008,17549991,2014,54388802,9501969,20128834
Mississippi State,6500862,22328742,2013,57362224,10072322,18460298
Mississippi State,6469834,19858285,2012,67926160,23696601,17901440
Mississippi State,6175694,13590378,2011,51588743,15367578,16455093
Mississippi State,5940118,12208521,2010,36265186,3334310,14782237
Mississippi State,6079440,13373614,2009,36703582,3407841,13842687
Mississippi State,5553147,9173361,2008,30432972,3863135,11843329
Mississippi State,4913949,8445542,2007,27542758,3796155,10387112
Mississippi State,4414223,8160800,2006,25796264,3191827,10029414
Mississippi State,4094322,8210877,2005,25273465,3208459,9759807
Cincinnati,5994287,21941098,2014,55433830,7571317,19927128
Cincinnati,8158927,22918427,2013,59540002,11111279,17351369
Cincinnati,7421806,16593506,2012,49868204,9773843,16079049
Cincinnati,7157187,12979297,2011,43688807,8985143,14567180
Cincinnati,6879030,13251655,2010,43478383,8305986,15041712
Cincinnati,6862722,16331165,2009,44780811,7974287,13612637
Cincinnati,6667940,13526710,2008,36369715,5463025,10712040
Cincinnati,6731148,12557764,2007,34172295,5380729,9502654
Cincinnati,6006474,13112158,2006,28872741,663432,9090677
Cincinnati,5670624,10879285,2005,25247524,309617,8387998
Utah,8093457,18642885,2014,50531606,2160877,21634387
Utah,8034269,20606685,2013,49520152,1911810,18967388
Utah,7534981,17729904,2012,43719503,1893914,16560704
Utah,6559477,15248375,2011,36846478,1648151,13390475
Utah,6108470,12386606,2010,31742827,1390291,11857460
Utah,5557562,13227924,2009,31302138,1357219,11159433
Utah,4992312,12093568,2008,27928663,1244842,9597941
Utah,5085619,11228782,2007,26328003,1232762,8780840
Utah,4254977,10544777,2006,24477346,930688,8746904
Utah,4633152,8922264,2005,21311639,431457,7324766
Washington State,9602597,28566181,2014,68141258,9008148,20964332
Washington State,9380310,20318900,2013,52126124,3914859,18512055
Washington State,8135099,21529718,2012,47962255,2247121,16050317
Washington State,7238416,18197679,2011,40617093,2107125,13073873
Washington State,6646292,17199280,2010,38045842,2441104,11759166
Washington State,6448155,17887189,2009,38079471,1874231,11869896
Washington State,5812449,17802607,2008,36495847,1594686,11286105
Washington State,5553943,15630365,2007,32030273,887661,9958304
Washington State,5334887,13652425,2006,29444187,970530,9486345
Washington State,4740493,13541446,2005,27873562,394499,9197124
Memphis,8866035,22736337,2014,50266862,1710911,16953579
Memphis,8872119,19710539,2013,46501314,1904162,16014494
Memphis,8086865,23095635,2012,46786144,1769096,13834548
Memphis,7686187,18605065,2011,40307245,1703135,12312858
Memphis,6907627,16430239,2010,39520842,1691882,14491094
Memphis,6410947,15892197,2009,35861454,1599541,11958769
Memphis,5809712,14888004,2008,34379023,1470623,12210684
Memphis,5646485,11879525,2007,29335795,1369918,10439867
Memphis,5429426,11241899,2006,27155528,1449597,9034606
Memphis,4975197,10678115,2005,24289381,769370,7866699
Central Florida,7079502,15446794,2014,45327168,7202589,15598283
Central Florida,6821370,12980092,2013,41981093,7749105,14430526
Central Florida,6685272,11099343,2012,40009614,8579705,13645294
Central Florida,6581050,13357599,2011,42806123,9471870,13395604
Central Florida,6163474,10834559,2010,39280775,9563728,12719014
Central Florida,5987631,10925881,2009,37757742,8431815,12412415
Central Florida,6156084,11025019,2008,38825507,10189932,11454472
Central Florida,6113043,11655283,2007,29614919,2247416,9599177
Central Florida,5175417,9420464,2006,25142787,1883392,8663514
Central Florida,4306145,6672140,2005,20730846,1577492,8175069
South Florida,5612434,19437219,2014,46829647,5732459,16047535
South Florida,5355598,16955976,2013,44612535,6293910,16007051
South Florida,5334898,16765043,2012,43067025,5794292,15172792
South Florida,5103162,19314714,2011,43494246,4739374,14336996
South Florida,4873479,16639608,2010,39088660,3594608,13980965
South Florida,4283889,14907122,2009,35213059,3326860,12695188
South Florida,3951311,13924699,2008,32809603,3102860,11830733
South Florida,3676930,10666937,2007,27846459,3536046,9966546
South Florida,3334101,9667561,2006,24237359,2899205,8336492
South Florida,3297322,7579496,2005,19823873,1972045,6975010
New Mexico,7654091,22439026,2014,47082167,3701749,13287301
New Mexico,7178357,21269898,2013,45046275,2915381,13682639
New Mexico,7049918,23736232,2012,44321779,559158,12976471
New Mexico,6658150,20622950,2011,40428116,466923,12680093
New Mexico,6371838,18390413,2010,37331322,409108,12159963
New Mexico,5958226,20285803,2009,39368459,396919,12727511
New Mexico,5022056,19816858,2008,36477159,423634,11214611
New Mexico,2835264,12867388,2007,25822644,268807,9851185
New Mexico,3372480,11513502,2006,26719944,2097015,9736947
New Mexico,4681945,11423293,2005,26216020,1052694,9058088
San Diego State,7305139,16227825,2014,45063393,4021186,17509243
San Diego State,6767339,16071863,2013,42849323,3662243,16347878
San Diego State,6242998,14865830,2012,39017254,2762476,15145950
San Diego State,5492606,12897275,2011,36054231,3304672,14359678
San Diego State,5558171,13129340,2010,32629652,1085309,12856832
San Diego State,5012674,14504525,2009,35055228,962293,14575736
San Diego State,4680849,12383649,2008,31405858,987289,13354071
San Diego State,4574382,12601337,2007,30440354,1110619,12154016
San Diego State,4449727,14788234,2006,30916070,1076877,10601232
San Diego State,3793833,11371832,2005,25177993,755960,9256368
Air Force,0,16346698,2014,41438813,36836,25055279
Air Force,0,15770412,2013,39497086,1640807,22085867
Air Force,0,18267415,2012,43156740,804644,24084681
Air Force,0,15261263,2011,39430241,757644,23411334
Air Force,0,14871033,2010,35081470,777856,19432581
Air Force,0,16020329,2009,34945674,821571,18103774
Air Force,0,13102354,2008,31174646,899333,17172959
Air Force,0,10611742,2007,28064038,641413,16810883
Air Force,0,10323826,2006,26606845,1110490,15172529
Air Force,0,4826766,2005,14330645,0,9503879
Boise State,6926375,14261641,2014,45680801,9689011,14803774
Boise State,6786098,12846119,2013,43292010,9180013,14479780
Boise State,6337067,11397079,2012,43172225,11903518,13534561
Boise State,5849004,10759828,2011,37293281,7790989,12893460
Boise State,5652173,14237565,2010,36655700,4720957,12045005
Boise State,4854899,8786167,2009,30207049,6278164,10287819
Boise State,4785755,8783141,2008,25607867,2670932,9368039
Boise State,4156307,10192392,2007,25275959,2678722,8248538
Boise State,3908176,7210803,2006,20666105,1886588,7660538
Boise State,2502743,6145260,2005,16852312,1519585,6684724
Nevada-Las Vegas,7234796,20926734,2014,44467342,4004830,12300982
Nevada-Las Vegas,7132472,18887188,2013,63672024,15172726,22479638
Nevada-Las Vegas,7053983,16348511,2012,58691671,14156184,21132993
Nevada-Las Vegas,6881326,18221401,2011,60555156,13694047,21758382
Nevada-Las Vegas,6241793,17091652,2010,59143059,13121902,22687712
Nevada-Las Vegas,5794044,17367663,2009,36218647,2397679,10659261
Nevada-Las Vegas,5563473,21386242,2008,37934266,1420694,9563857
Nevada-Las Vegas,5452929,18297807,2007,33484258,1059358,8674164
Nevada-Las Vegas,5062425,18876863,2006,32720926,543818,8237820
Nevada-Las Vegas,4797873,10956364,2005,24280990,0,8526753
James Madison,7441533,12856832,2014,43767486,11810568,11658553
James Madison,7188155,12412134,2013,36072842,5471589,11000964
James Madison,6875047,11255608,2012,34595223,5364457,11100111
James Madison,7141205,9568322,2011,31143588,3805389,10628672
James Madison,6413803,8766790,2010,28991789,3850665,9960531
James Madison,5801675,9737514,2009,29670697,3948885,10182623
James Madison,5287907,8429528,2008,26286533,3231676,9337422
James Madison,4733170,7690748,2007,24520072,3315407,8780747
James Madison,4484792,7531115,2006,23024778,3068258,7940613
James Madison,3868645,7501135,2005,21151103,2461224,7320099
Old Dominion,8054581,14326518,2014,41118876,6728388,12009389
Old Dominion,6853367,10766710,2013,35561455,6673314,11268064
Old Dominion,6597571,10500999,2012,34375037,6326604,10949863
Old Dominion,5536190,8513675,2011,30909628,7070074,9789689
Old Dominion,4731171,7248346,2010,29048014,8351587,8716910
Old Dominion,3764134,6733381,2009,25520288,6301945,8720828
Old Dominion,2798596,5629668,2008,20531677,4571771,7531642
Old Dominion,2498384,5009350,2007,17791173,4425522,5857917
Old Dominion,2314338,3121560,2006,13990585,3201408,5353279
Old Dominion,2016856,3005300,2005,11119357,1759705,4337496
Hawaii,8815750,19439014,2014,43086528,359246,14472518
Hawaii,8140736,18765648,2013,40357387,320323,13130680
Hawaii,7193480,19281189,2012,40319775,419213,13425893
Hawaii,6911764,16270466,2011,36344952,386772,12775950
Hawaii,6486674,15694992,2010,34946092,259198,12505228
Hawaii,5917087,16208496,2009,35717190,293248,13298359
Hawaii,5507609,16429130,2008,35133798,623702,12573357
Hawaii,4843640,13385570,2007,30236183,515083,11491890
Hawaii,4339317,12882542,2006,28348930,827402,10299669
Hawaii,3879694,7616726,2005,22036611,650474,9889717
Houston,5649371,12671509,2014,39486396,5939807,15225709
Houston,5394887,16708799,2013,42664044,7298586,13261772
Houston,5247765,13636827,2012,36395207,3984272,13526343
Houston,4543116,11630554,2011,33450817,4684840,12592307
Houston,4232744,12004031,2010,33034483,5223626,11574082
Houston,4589145,10824823,2009,31341925,5430115,10497842
Houston,4348058,10347746,2008,30988450,5961255,10331391
Houston,3814529,9692938,2007,28602628,5445389,9649772
Houston,3822989,8341428,2006,26029167,4943390,8921360
Houston,3481959,9263589,2005,22677457,1799059,8132850
Colorado State,7581170,14950543,2014,36944157,200597,14211847
Colorado State,6984374,14625941,2013,34468927,107171,12751440
Colorado State,6377454,12591684,2012,30161147,1198860,9993149
Colorado State,6227779,10468145,2011,25948502,652296,8600282
Colorado State,5789717,10513934,2010,25355036,571346,8480039
Colorado State,5588655,11436331,2009,25984458,899610,8059862
Colorado State,4883542,11175284,2008,23953191,164803,7729562
Colorado State,4195323,9180110,2007,20313040,436267,6501340
Colorado State,4008660,9118051,2006,19891653,566739,6198203
Colorado State,3725544,7816807,2005,18012178,438275,6031552
Army,0,15046226,2014,32532108,4365672,13120210
Army,0,12784434,2013,27898527,3772611,11341482
Army,0,11508101,2012,26301738,3502658,11290979
Army,0,12188918,2011,27420476,3711472,11520086
Army,0,12408593,2010,25784801,3172058,10204150
Army,0,12715875,2009,25968123,3521310,9730938
Army,0,11008184,2008,24888651,1305799,12574668
Army,0,12445384,2007,23479378,305078,10728916
Army,0,10855739,2006,23209804,679743,11674322
Army,0,7290891,2005,20493126,3110973,10091262
East Carolina,7050840,14305255,2014,38723518,1811908,15555515
East Carolina,6931230,12855192,2013,36639494,1911496,14941576
East Carolina,6163139,12825525,2012,33623495,1806136,12828695
East Carolina,5823307,11533023,2011,32220961,2245199,12619432
East Carolina,5250045,11440989,2010,30473691,1290728,12491929
East Carolina,4482508,11523915,2009,29581993,1593486,11982084
East Carolina,4437124,12254291,2008,27625195,1392731,9541049
East Carolina,4667925,10685605,2007,24932913,957044,8622339
East Carolina,4812314,10377700,2006,23475157,827463,7457680
East Carolina,4289965,9223596,2005,21763041,907173,7342307
Fresno State,5137989,15162543,2014,36436560,1586086,14549942
Fresno State,4884376,13294266,2013,33050314,1425042,13446630
Fresno State,4881199,11126509,2012,30174803,1519471,12647624
Fresno State,4775141,10558366,2011,28838967,1429655,12075805
Fresno State,4313246,9031159,2010,26690524,1421368,11924751
Fresno State,3734046,10660525,2009,28645243,1551868,12698804
Fresno State,3462544,11909943,2008,28856248,1672023,11811738
Fresno State,3351788,10218654,2007,25871953,1616504,10685007
Fresno State,3237860,10587351,2006,25634086,1116554,10692321
Fresno State,3263489,11086140,2005,25350352,830189,10170534
Massachusetts,9064265,12561243,2014,33475242,1034968,10814766
Massachusetts,8523420,11437194,2013,30731842,953512,9817716
Massachusetts,7637860,11745749,2012,29465734,1100019,8982106
Massachusetts,6633279,11038494,2011,26963095,991557,8299765
Massachusetts,6227860,10591830,2010,25229901,743255,7666956
Massachusetts,5905889,10382788,2009,24609058,664353,7656028
Massachusetts,5437842,10945313,2008,24703893,625055,7695683
Massachusetts,4952771,8497585,2007,21362070,647334,7264380
Massachusetts,4649151,7988166,2006,20002569,671991,6693261
Massachusetts,4483227,7335956,2005,18502005,491977,6190845
Akron,6840858,8316853,2014,32050686,6384836,10508139
Akron,6776068,8696087,2013,28407737,2422900,10512682
Akron,6104814,8573290,2012,27225730,2372123,10175503
Akron,5897598,8128024,2011,25344459,2246932,9071905
Akron,5840195,8050951,2010,24498336,1711505,8895685
Akron,5501724,6932542,2009,20124113,281218,7408629
Akron,5534767,6153013,2008,18858092,335650,6834662
Akron,5223415,5227838,2007,16992718,538081,6003384
Akron,5002563,5454655,2006,15751464,299740,4994506
Akron,4401715,4648890,2005,13896456,221857,4623994
Wyoming,5272553,11050278,2014,32966973,2726123,13918019
Wyoming,5307766,9150496,2013,29731941,2668075,12605604
Wyoming,5458804,9953264,2012,30476152,2876466,12187618
Wyoming,4586220,8916795,2011,27800441,3259113,11038313
Wyoming,4635285,8732412,2010,26524851,2868090,10289064
Wyoming,4314521,9445905,2009,26611238,2616222,10234590
Wyoming,3988800,8682692,2008,24876915,2159242,10046181
Wyoming,4041443,9135426,2007,23937954,2133524,8627561
Wyoming,3391053,8077091,2006,22292557,2263152,8561261
Wyoming,3125390,8109992,2005,20924672,2171827,7517463
Texas State,4897944,7516593,2014,28378049,8004148,7959364
Texas State,4740513,6876555,2013,27690963,8681267,7392628
Texas State,4104995,5748533,2012,25439818,8666940,6919350
Texas State,3693163,4499183,2011,20284579,5795164,6297069
Texas State,3618148,3836819,2010,19768353,6613402,5699984
Texas State,3414124,3481131,2009,14306278,2262910,5148113
Texas State,3078355,2965519,2008,12714001,1891241,4778886
Texas State,3000764,3114519,2007,12775434,2299901,4360250
Texas State,2481246,3061114,2006,11186563,1439350,4204853
Texas State,2262710,2373600,2005,9535861,1088927,3810624
Delaware,10343139,12006666,2014,32142970,945944,8847221
Delaware,10402829,13582801,2013,33750927,1214659,8550638
Delaware,9810252,12380432,2012,31115528,544717,8380127
Delaware,9384350,18316087,2011,36074840,329709,8044694
Delaware,8643028,15164450,2010,31902322,454993,7639851
Delaware,7818231,15253249,2009,30347727,399539,6876708
Delaware,7473347,13723020,2008,27792841,325435,6271039
Delaware,6677526,11856357,2007,24892652,568966,5789803
Delaware,5911502,11364609,2006,22696722,0,5420611
Delaware,5054040,11804346,2005,21947859,0,5089473
North Texas,4171345,9928946,2014,31182673,7212050,9870332
North Texas,3909230,7957510,2013,28926470,7960377,9099353
North Texas,3660671,7413894,2012,26542476,6807435,8660476
North Texas,3310358,6500196,2011,18935422,1323250,7801618
North Texas,3245866,6042883,2010,17105046,994105,6822192
North Texas,3053784,6415589,2009,17184137,1153210,6561554
North Texas,2953550,5898267,2008,16449462,1559084,6038561
North Texas,2739584,6062097,2007,16192280,1754542,5636057
North Texas,2549874,4827971,2006,14127731,1642867,5107019
North Texas,2780309,4672522,2005,13749794,1151142,5145821
Alabama at Birmingham,7135185,10718310,2014,30805171,1094818,11856858
Alabama at Birmingham,6161702,9712437,2013,27544633,1024564,10645930
Alabama at Birmingham,6085431,9884626,2012,27412637,931209,10511371
Alabama at Birmingham,6057472,8175013,2011,25224426,885236,10106705
Alabama at Birmingham,5567413,7849667,2010,23839180,822067,9600033
Alabama at Birmingham,4904286,7532468,2009,22519272,638782,9443736
Alabama at Birmingham,4648296,7122372,2008,21509018,992982,8745368
Alabama at Birmingham,4308476,8431422,2007,21123121,569286,7813937
Alabama at Birmingham,4654074,6793055,2006,19226855,1067414,6712312
Alabama at Birmingham,4234229,7402749,2005,18872742,1024920,6210844
Buffalo,7635181,13034742,2014,31134149,1321888,9142338
Buffalo,7277504,13059085,2013,28960127,54404,8569134
Buffalo,6354309,12723170,2012,27478169,55322,8345368
Buffalo,6371627,11389285,2011,26221691,51840,8408939
Buffalo,6159123,10731781,2010,16973584,82680,0
Buffalo,5509400,12069723,2009,25942006,120893,8241990
Buffalo,5117890,9620001,2008,21854374,0,7116483
Buffalo,4850529,10661990,2007,22068328,0,6555809
Buffalo,4554381,10463486,2006,20888277,0,5870410
Buffalo,4275751,8642792,2005,18685142,72222,5694377
California-Davis,6328831,10582122,2014,29531570,2690088,9930529
California-Davis,6879719,9946011,2013,28881026,2773736,9281560
California-Davis,5824353,8990737,2012,26984595,3228225,8941280
California-Davis,6117399,8558604,2011,25719586,2624685,8418898
California-Davis,5775546,9136169,2010,25598798,2522784,8164299
California-Davis,5318950,9044288,2009,24960557,2580031,8017288
California-Davis,4794723,9339415,2008,22685673,236879,8314656
California-Davis,4089129,7821688,2007,19571120,209567,7450736
California-Davis,3046101,8095877,2006,17940038,150780,6647280
California-Davis,2107321,7105034,2005,15288702,342668,5733679
Middle Tennessee State,7804071,12246776,2014,29036660,238785,8747028
Middle Tennessee State,7439166,12886096,2013,28716516,407292,7983962
Middle Tennessee State,7252384,11103912,2012,26450723,802806,7291621
Middle Tennessee State,7232421,10092300,2011,24328234,420859,6582654
Middle Tennessee State,6588195,8300589,2010,20800017,89835,5821398
Middle Tennessee State,5673738,8069191,2009,19441095,160701,5537465
Middle Tennessee State,5673687,8363899,2008,19656265,0,5618679
Middle Tennessee State,5200354,9001353,2007,19621497,0,5419789
Middle Tennessee State,4895550,7761465,2006,17473479,0,4816464
Middle Tennessee State,4242853,6584570,2005,15376862,0,4549439
Eastern Michigan,8010230,14031684,2014,30081523,766197,7273412
Eastern Michigan,7417412,12629118,2013,27797656,486544,7264582
Eastern Michigan,7097252,12672130,2012,27798118,714351,7314385
Eastern Michigan,6757674,11680920,2011,25971066,779675,6752797
Eastern Michigan,6692941,10909423,2010,24635531,646476,6386691
Eastern Michigan,5727672,10807065,2009,23615132,814105,6266290
Eastern Michigan,8610787,9855331,2008,25153393,698400,5988875
Eastern Michigan,7866759,9081229,2007,23585654,881989,5755677
Eastern Michigan,7492242,6558404,2006,19238903,430845,4757412
Eastern Michigan,7373068,6497519,2005,19749198,601126,5277485
San Jose State,5657871,10994692,2014,27815957,716993,10446401
San Jose State,5584523,8663937,2013,24440274,426854,9764960
San Jose State,4881712,7890349,2012,23505166,1710430,9022675
San Jose State,3921952,6753382,2011,19650442,509628,8465480
San Jose State,3497498,9284866,2010,20785707,442030,7561313
San Jose State,3347705,6205089,2009,17809653,512013,7744846
San Jose State,3069637,6130761,2008,17386449,418361,7767690
San Jose State,3076430,6088303,2007,17008079,415755,7427591
San Jose State,3299244,5724300,2006,17031351,999158,7008649
San Jose State,2829575,4979664,2005,14028812,446308,5773265
North Carolina Charlotte,4911593,15534578,2014,28366612,480944,7439497
North Carolina Charlotte,3955105,14722850,2013,26122465,310439,7134071
North Carolina Charlotte,2976483,8441480,2012,20265479,3254501,5593015
North Carolina Charlotte,2906115,9116819,2011,17519512,511211,4985367
North Carolina Charlotte,2315747,7579411,2010,14873541,449049,4529334
North Carolina Charlotte,2288771,8112227,2009,14757775,120500,4236277
North Carolina Charlotte,2147022,6335938,2008,12598230,305294,3809976
North Carolina Charlotte,2237876,5317567,2007,11399145,558311,3285391
North Carolina Charlotte,2037436,5880048,2006,12087619,969395,3200740
North Carolina Charlotte,2038463,4625359,2005,9643127,8103,2971202
Miami (Ohio),9434519,8425829,2014,28712466,205309,10646809
Miami (Ohio),9935055,8394536,2013,28926951,181568,10415792
Miami (Ohio),9411244,8387207,2012,27832911,262111,9772349
Miami (Ohio),8910300,8263618,2011,26975567,211478,9590171
Miami (Ohio),8045273,8266581,2010,25604474,250145,9042475
Miami (Ohio),8015376,7597959,2009,24818228,268908,8935985
Miami (Ohio),7504012,7612388,2008,23320946,357230,7847316
Miami (Ohio),7127512,8866960,2007,23354626,315767,7044387
Miami (Ohio),6285670,8083145,2006,21213766,302328,6542623
Miami (Ohio),5858446,7699184,2005,20055568,259591,6238347
New Mexico State,6599006,14065162,2014,29513451,1063556,7785727
New Mexico State,6483197,13526384,2013,28484118,1059770,7414767
New Mexico State,6075965,13467010,2012,27426388,829204,7054209
New Mexico State,6010050,12060711,2011,25782307,838294,6873252
New Mexico State,5514325,14219050,2010,26994899,718290,6543234
New Mexico State,5276779,15286177,2009,28791357,1039269,7189132
New Mexico State,5115846,15236710,2008,28298002,1034833,6910613
New Mexico State,3755188,10687525,2007,21793202,978494,6371995
New Mexico State,2401749,8301359,2006,16844756,848481,5293167
New Mexico State,1972312,5511030,2005,12643034,751031,4408661
Central Michigan,5509684,9098484,2014,29281777,5079004,9594605
Central Michigan,4990221,7843566,2013,27187504,5158043,9195673
Central Michigan,4888054,6956819,2012,25738861,5442046,8451942
Central Michigan,4665580,6197519,2011,23423660,4743809,7816752
Central Michigan,4596393,7306961,2010,24104699,4540721,7660624
Central Michigan,4599370,6180891,2009,22418292,4843857,6794174
Central Michigan,4106655,6559111,2008,21636204,4503770,6466668
Central Michigan,4017471,5704246,2007,20283635,4451432,6110486
Central Michigan,3568522,4330399,2006,17476651,4281680,5296050
Central Michigan,3246816,4434575,2005,16735819,3865887,5188541
Western Michigan,7664804,12702437,2014,30113764,974387,8772136
Western Michigan,7320233,11858102,2013,28630285,892210,8559740
Western Michigan,6863376,11774344,2012,27817159,1035507,8143932
Western Michigan,6115290,10471936,2011,25410420,858528,7964666
Western Michigan,5561920,9324743,2010,23233399,786838,7559898
Western Michigan,5102665,10822885,2009,24545495,880771,7739174
Western Michigan,4490824,9433654,2008,21635009,835007,6875524
Western Michigan,4616256,8665776,2007,21271146,996077,6993037
Western Michigan,4569138,9212016,2006,20962318,313822,6867341
Western Michigan,3976136,8945168,2005,19611155,281526,6408325
Marshall,5819471,14250958,2014,29441144,1442509,7928206
Marshall,5728319,12817624,2013,28337108,2048277,7742888
Marshall,5810132,12980406,2012,26816730,808805,7217387
Marshall,5503325,12627865,2011,26146967,1041415,6974362
Marshall,5364858,12515723,2010,25678598,1305041,6492976
Marshall,5148902,11902162,2009,24701638,1384646,6265928
Marshall,4626443,11364756,2008,23575610,1334682,6249729
Marshall,4587748,10067821,2007,20975251,623243,5696439
Marshall,4332830,9564263,2006,19691376,435488,5358795
Marshall,3847642,6819295,2005,16516504,859725,4989842
Texas-El Paso,6385338,13033106,2014,28521887,423970,8679473
Texas-El Paso,6573982,13464861,2013,28964808,533848,8392117
Texas-El Paso,6500002,12364771,2012,27092238,662088,7565377
Texas-El Paso,6318154,12917932,2011,27660527,512380,7912061
Texas-El Paso,5679289,12540226,2010,26614312,469575,7925222
Texas-El Paso,5467309,12274437,2009,25547680,487871,7318063
Texas-El Paso,5354270,12229932,2008,25707421,1120533,7002686
Texas-El Paso,5345086,11161883,2007,23207842,420802,6280071
Texas-El Paso,5091225,12381411,2006,23740388,354666,5913086
Texas-El Paso,4864327,10460617,2005,21325403,702118,5298341
Florida International,6578060,9050944,2014,27542910,2709320,9204586
Florida International,7058681,7989116,2013,26275579,2801578,8426204
Florida International,6526587,8089094,2012,27428271,4622028,8190562
Florida International,5861149,7099061,2011,24606141,4007543,7638388
Florida International,5920855,6330155,2010,22509591,3174026,7084555
Florida International,5541589,6787114,2009,21801110,2726885,6745522
Florida International,4872036,6672586,2008,18475489,609564,6321303
Florida International,4680820,6819863,2007,17977244,656620,5819941
Florida International,4260736,5451665,2006,15200636,531879,4956356
Florida International,3967549,4867302,2005,13463158,251583,4376724
Virginia Commonwealth,4024622,8334074,2014,27511166,6278118,8874352
Virginia Commonwealth,3898647,7453764,2013,25839126,6439154,8047561
Virginia Commonwealth,3691274,7306042,2012,23760993,5472865,7290812
Virginia Commonwealth,3395758,5759647,2011,21453672,5736205,6562062
Virginia Commonwealth,3119680,5161600,2010,16818906,2970714,5566912
Virginia Commonwealth,3009157,4364944,2009,16223712,3014875,5834736
Virginia Commonwealth,2755405,4155334,2008,14434623,2764021,4759863
Virginia Commonwealth,2598511,3578993,2007,13515333,3037981,4299848
Virginia Commonwealth,2330047,3247514,2006,12150781,2282162,4291058
Virginia Commonwealth,2418595,2521434,2005,8545534,0,3605505
Ohio,7174844,10186497,2014,27298719,1996925,7940453
Ohio,7068691,10097330,2013,27027550,1966678,7894851
Ohio,6677530,9972752,2012,24408346,930167,6827897
Ohio,6359849,9279880,2011,22841117,523289,6678099
Ohio,6569858,8843199,2010,22875238,862843,6599338
Ohio,6222292,8340529,2009,21893603,621965,6708817
Ohio,5973051,7673706,2008,20297059,408403,6241899
Ohio,6061551,7612671,2007,20734683,921825,6138636
Ohio,5647363,4275755,2006,16704043,227915,6553010
Ohio,4738782,5118493,2005,14986448,8960,5120213
Western Kentucky,6554031,11652555,2014,27716031,753065,8756380
Western Kentucky,6017247,10419078,2013,27607401,3101745,8069331
Western Kentucky,5833320,9379465,2012,25770262,2946852,7610625
Western Kentucky,5375005,7866704,2011,22269484,2067494,6960281
Western Kentucky,5388893,8950567,2010,23243348,2234020,6669868
Western Kentucky,5210774,8529275,2009,22322317,2271975,6310293
Western Kentucky,4550204,7208914,2008,19957909,2327476,5871315
Western Kentucky,3888313,6418993,2007,17208710,1994856,4906548
Western Kentucky,3290434,6205417,2006,16081045,2114507,4470687
Western Kentucky,2914828,5714924,2005,14577734,2008219,3939763
Stony Brook,6723424,12004443,2014,26934534,1115772,7090895
Stony Brook,6393044,10592045,2013,25144617,1024614,7134914
Stony Brook,5786986,10144572,2012,23875960,1060463,6883939
Stony Brook,5508051,8681592,2011,21507169,920668,6396858
Stony Brook,5201105,7933141,2010,20153246,981953,6037047
Stony Brook,4484498,9647036,2009,23454738,1001739,8321465
Stony Brook,4017459,10189073,2008,22069318,541372,7321414
Stony Brook,3168356,10969481,2007,21573933,372922,7063174
Stony Brook,2424650,10012667,2006,19332905,266500,6629088
Stony Brook,2433415,8852653,2005,17619115,141556,6191491
Nevada,6034149,11132936,2014,27734777,1281928,9285764
Nevada,5800870,11325902,2013,27274229,1246508,8900949
Nevada,5264166,9146623,2012,22177509,0,7766720
Nevada,5228514,8778743,2011,23112105,1805812,7299036
Nevada,4665206,7850085,2010,23988811,4146957,7326563
Nevada,4870229,8907536,2009,23997850,2970365,7249720
Nevada,4669070,9042805,2008,24051345,3017085,7322385
Nevada,4696520,8433668,2007,21359986,1353161,6876637
Nevada,4288165,8017152,2006,20175399,1377302,6492780
Nevada,4032368,7223677,2005,20477381,3079311,6142025
Georgia State,7100072,9127402,2014,27488640,1544279,9716887
Georgia State,6648734,8735381,2013,27261115,2593882,9283118
Georgia State,6425503,8994491,2012,25943332,2024411,8498927
Georgia State,6039848,8203176,2011,23135282,1193473,7698785
Georgia State,4804942,5419440,2010,17195830,806928,6164520
Georgia State,3418601,4787567,2009,13533032,288254,5038610
Georgia State,3025815,3926934,2008,10794774,145815,3696210
Georgia State,3111954,4117512,2007,10757078,162737,3364875
Georgia State,3091980,2670058,2006,8571384,117697,2691649
Georgia State,2632119,2204020,2005,7127697,92021,2199537
Northern Illinois,7409545,11040051,2014,26130115,1065098,6615421
Northern Illinois,7351372,11134874,2013,25294053,433031,6374776
Northern Illinois,6985935,10240573,2012,23863877,501407,6135962
Northern Illinois,6810435,9527043,2011,22793622,590851,5865293
Northern Illinois,5868058,9397909,2010,21899024,803267,5829790
Northern Illinois,5814784,11181864,2009,23770449,1151983,5621819
Northern Illinois,4998775,11497435,2008,22448970,596719,5356041
Northern Illinois,4321742,9539303,2007,18934750,172541,4901164
Northern Illinois,4110508,8079735,2006,16670569,90102,4390225
Northern Illinois,3650128,7562794,2005,15208205,153767,3841516
Texas-San Antonio,5845180,11820489,2014,27175879,1808800,7701410
