school,scholarships,other,year,total_expenses,building_and_grounds,coaching_staff
Texas A&M,5558533,29122563,2007,70377179,10870504,24825579
Texas A&M,5296885,23684046,2006,61459536,10047464,22431141
Texas A&M,4666223,23711920,2005,58873096,8732202,21762751
Oklahoma State,9056702,45542039,2014,109648000,27930025,27119234
Oklahoma State,8548771,34305026,2013,96551860,28504369,25193694
Oklahoma State,8203924,52211089,2012,96782619,11458333,24909273
Oklahoma State,7998646,22459384,2011,66937207,15025961,21453216
Oklahoma State,7148392,29595250,2010,83748207,26536490,20468075
Oklahoma State,7078204,40008046,2009,75982440,9628501,19267689
Oklahoma State,6609989,34301797,2008,89801118,32402639,16486693
Oklahoma State,5956718,18907461,2007,66435650,27152213,14419258
Oklahoma State,5331000,22052975,2006,80300988,38802996,14114017
Oklahoma State,4520479,19923432,2005,55433091,17649549,13339631
Penn State,15216958,45024851,2014,117440639,18141587,39057243
Penn State,14811085,41988642,2013,110737200,18754712,35182761
Penn State,12814311,41171861,2012,107389258,21897769,31505317
Penn State,12289069,35269917,2011,101336483,28135841,25641656
Penn State,12047246,31261897,2010,88041921,22611580,22121198
Penn State,8080557,23174289,2005,60218635,16066252,12897537
Auburn,12004603,46405548,2014,126470602,27777470,40282981
Auburn,10405906,35501219,2013,103126413,22531368,34687920
Auburn,9989376,29876713,2012,96315831,22899176,33550566
Auburn,9733611,32240860,2011,100497784,24190393,34332920
Auburn,8797738,32254300,2010,90908902,22782774,27074090
Auburn,7554922,32471337,2009,85480343,21990628,23463456
Auburn,7141616,23891782,2008,69841200,16668800,22139002
Auburn,6594450,25184571,2007,68910465,16022228,21109216
Auburn,6614949,21269307,2006,63249119,16718124,18646739
Auburn,6124949,19381821,2005,61314114,17144208,18663136
Tennessee,10943538,35006608,2014,106153854,23132330,37071378
Tennessee,12112750,40158523,2013,110269194,21841306,36156615
Tennessee,10940126,30935316,2012,101292015,20581325,38835248
Tennessee,10858953,31315522,2011,97580406,18307170,37098761
Tennessee,10638233,44689814,2010,111670619,20357371,35985201
Tennessee,10093985,43170400,2009,105972740,19020421,33687934
Tennessee,9780350,40412325,2008,100507146,17325221,32989250
Tennessee,8427139,41297360,2007,94445270,15750940,28969831
Tennessee,6655276,25267359,2006,70565159,12392776,26249748
Tennessee,6274670,28913406,2005,71783012,12399007,24195929
Minnesota,10638107,55142274,2014,106176156,16245789,24149986
Minnesota,10088426,43135869,2013,96427632,21033342,22169995
Minnesota,9649557,38959089,2012,83619526,14726430,20284450
Minnesota,8733836,28867839,2011,78924683,13973421,27349587
Minnesota,8706183,30705562,2010,78706900,14589970,24705185
Minnesota,8701694,28573735,2009,70322993,9684368,23363196
Minnesota,8977632,26167022,2008,63968805,5995748,22828403
Minnesota,8511172,27841112,2007,64828596,10152758,18323554
Minnesota,7987217,19299479,2006,57031263,12059860,17684707
Minnesota,7835288,18767607,2005,53872091,10521063,16748133
Iowa,11762781,30740731,2014,102278847,26270193,33505142
Iowa,11116659,27129317,2013,106969227,37382979,31340272
Iowa,10285183,30400095,2012,104658746,33354212,30619256
Iowa,9362572,27815380,2011,88057486,21863477,29016057
Iowa,8585730,24710444,2010,74438196,14944085,26197937
Iowa,8755400,24204528,2009,71116911,13703314,24453669
Iowa,7579781,24853385,2008,71602594,16003409,23166018
Iowa,6722602,27208976,2007,70469589,15161903,21376108
Iowa,6652458,25088629,2006,59224861,6420286,21063488
Iowa,5954008,24105878,2005,54982658,7053120,17869652
Florida State,9471927,42858931,2014,98866182,13786951,32748373
Florida State,9544912,36076096,2013,84772759,11912214,27239537
Florida State,9542715,37682211,2012,90278878,15549350,27504602
Florida State,9031720,31402706,2011,86949804,20860106,25655272
Florida State,7730141,33405071,2010,75209181,11011395,23062574
Florida State,8389805,34571753,2009,78528151,11795192,23771401
Florida State,7794848,24637320,2008,65583105,12602476,20548461
Florida State,7695315,29801259,2007,67843586,12385397,17961615
Florida State,7079069,24250631,2006,59512089,11636771,16545618
Florida State,6557793,21213062,2005,56412748,13480109,15161784
Michigan State,12477749,36395002,2014,107422832,22999383,35550698
Michigan State,12000227,33589880,2013,93743529,18243964,29909458
Michigan State,11116782,35145584,2012,88100432,14132656,27705410
Michigan State,10146765,29887080,2011,84004229,16276734,27693650
Michigan State,9688324,27419134,2010,78162447,16029936,25025053
Michigan State,9241953,27513919,2009,81404459,19611611,25036976
Michigan State,8901044,32131691,2008,83444368,20158709,22252924
Michigan State,8315542,31427783,2007,73696382,10870954,23082103
Michigan State,7941547,26243399,2006,70218402,10044669,25988787
Michigan State,7605217,24594582,2005,58340854,8122491,18018564
Georgia,11046804,28666540,2014,92560956,22561291,30286321
Georgia,10788843,28947504,2013,96904626,24566189,32602090
Georgia,9388772,27482887,2012,88923561,22734582,29317320
Georgia,8527242,25708574,2011,80759498,19670377,26853305
Georgia,8053637,25375698,2010,77250831,18419655,25401841
Georgia,7037503,25688734,2009,78573518,17826229,28021052
Georgia,6665226,24479254,2008,71993533,15628338,25220715
Georgia,6094520,21581161,2007,64153697,14500391,21977625
Georgia,5870616,33609649,2006,62228597,2900275,19848057
Georgia,5646445,18860272,2005,44933055,2242329,18184009
Washington,11604349,37137784,2014,86097137,4100875,33254129
Washington,10729571,32698347,2013,76209927,1988175,30793834
Washington,9938526,33388812,2012,73833643,1799177,28707128
Washington,8720351,29743390,2011,67900835,2300651,27136443
Washington,8194179,26381282,2010,61640598,2337773,24727364
Washington,8249982,27011676,2009,60575780,2288158,23025964
Washington,7704449,25803574,2008,57330671,2366471,21456177
Washington,7201491,21050268,2007,50795299,2157564,20385976
Washington,6876260,21162670,2006,49011005,2031833,18940242
Washington,6424582,20849366,2005,45423346,1918868,16230530
Arizona,10800900,26699706,2014,95524260,30137325,27886329
Arizona,11299588,24208750,2013,68253136,6624665,26120133
Arizona,9790285,22111831,2012,76802678,19905947,24994615
Arizona,9743953,20051599,2011,58506308,7751772,20958984
Arizona,9149058,19134341,2010,56919148,8564722,20071027
Arizona,7862103,20764489,2009,53177538,5016549,19534397
Arizona,6730896,16701500,2008,46211393,5877908,16901089
Arizona,6622595,16393316,2007,43267008,4621673,15629424
Arizona,5576823,15970423,2006,40479457,3396842,15535369
Arizona,5450068,17283179,2005,40760160,2735766,15291147
South Carolina,12430711,33191307,2014,95762786,14253607,35887161
South Carolina,9062390,31446361,2013,89097412,16669889,31918772
South Carolina,8836380,32959108,2012,84963037,14382942,28784607
South Carolina,8468686,29475764,2011,80525711,15745776,26835485
South Carolina,10245248,25271083,2010,78295030,18779215,23999484
South Carolina,9244435,24442323,2009,75597812,18704817,23206237
South Carolina,9040952,20035768,2008,64516437,14976527,20463190
South Carolina,8267643,19195367,2007,57167414,11387593,18316811
South Carolina,8029812,18141037,2006,53098347,9142403,17785095
South Carolina,6896591,19748550,2005,48935414,7059599,15230674
Kansas,11146895,39996451,2014,90056511,5152682,33760483
Kansas,10791102,28364520,2013,79720036,5076307,35488107
Kansas,9873586,35416032,2012,78973441,5112238,28571585
Kansas,9084869,28450364,2011,71992158,5794140,28662785
Kansas,8727303,25815931,2010,69241375,5146192,29551949
Kansas,7966618,23682846,2009,67643124,5151314,30842345
Kansas,7844822,28968106,2008,65748366,3367897,25567540
Kansas,7281704,26331194,2007,58763135,2689488,22460750
Kansas,6583135,20818184,2006,47862244,2225669,18235256
Kansas,5885922,15558590,2005,40761354,2317502,16999339
Arkansas,9055006,32586958,2014,94640408,18172789,34825655
Arkansas,8465727,33953336,2013,92131933,14815420,34897450
Arkansas,7933055,32229068,2012,82470473,11448878,30859472
Arkansas,7442929,31048336,2011,79392988,12185650,28716073
Arkansas,6852683,25816408,2010,71801905,12595057,26537757
Arkansas,6448740,21645654,2009,64609733,12108028,24407311
Arkansas,6657930,24339818,2008,64632499,11105279,22529472
Arkansas,6461360,20419543,2007,62169914,16810465,18478546
Arkansas,5766862,17391819,2006,48736994,9636352,15941961
Arkansas,5238770,16237051,2005,45916377,8977118,15463438
Kentucky,11055095,35593426,2014,94612431,12146516,35817394
Kentucky,10760529,33248613,2013,93423628,17208880,32205606
Kentucky,10049621,27558635,2012,84929819,16199944,31121619
Kentucky,9379675,26586684,2011,82840006,19022247,27851400
Kentucky,8754769,31390034,2010,79002986,12273658,26584525
Kentucky,8323598,26087514,2009,68628681,13513763,20703806
Kentucky,8072145,26105806,2008,71079982,15810394,21091637
Kentucky,7742358,21484205,2007,61075726,11527342,20321821
Kentucky,7209878,23328234,2006,57551345,9470633,17542600
Kentucky,6660202,20935136,2005,52462483,8019773,16847372
Nebraska,9531229,34404825,2014,90939273,13231253,33771966
Nebraska,8940459,29538878,2013,81666269,11653411,31533521
Nebraska,9416377,29424715,2012,77037282,9264371,28931819
Nebraska,10359619,31917968,2011,81916484,12511204,27127693
Nebraska,9677637,25581664,2010,71738068,10864317,25614450
Nebraska,8762557,25257688,2009,70543505,12580072,23943188
Nebraska,8166819,29311540,2008,74981110,16107157,21395594
Nebraska,7585821,22698661,2007,65356468,14628336,20443650
Nebraska,6637033,19940261,2006,61667540,15963455,19126791
Nebraska,6408173,19031046,2005,55697329,12069641,18188469
California,9864873,43877758,2014,90108023,4446140,31919252
California,10000533,42378103,2013,90126390,3746633,34001121
California,10052886,25917995,2012,68578362,2110574,30496907
California,8898627,24171969,2011,62669411,1921641,27677174
California,11131344,26120649,2010,69345912,4018030,28075889
California,9957129,29994948,2009,72738751,4318124,28468550
California,8996597,24970164,2008,64282315,4981327,25334227
California,8446702,25268681,2007,60826660,3656175,23455102
California,8402347,22338820,2006,53722726,2318325,20663234
California,8043265,21960612,2005,51774040,2545047,19225116
Louisville,10601474,33406311,2014,88174474,8438108,35728581
Louisville,10112951,40520986,2013,92383221,8632419,33116865
Louisville,9362072,35546563,2012,84133793,8741541,30483617
Louisville,8891379,38180206,2011,81837054,8060071,26705398
Louisville,8219998,25505674,2010,61257743,4427845,23104226
Louisville,7805349,25237501,2009,58931534,4271579,21617105
Louisville,7645106,23288572,2008,55145760,3808424,20403658
Louisville,7114089,27003629,2007,55731701,3500032,18113951
Louisville,6599878,23649564,2006,48807290,3358181,15199667
Louisville,5761648,16068986,2005,38629661,2902241,13896786
UCLA,12138363,30450167,2014,86426780,9082941,34755309
UCLA,11592246,32615935,2013,83926720,8538508,31180031
UCLA,11128431,27145565,2012,71731776,6651704,26806076
UCLA,10554083,24429080,2011,66003893,6320909,24699821
UCLA,9744653,22526278,2010,61875531,6772072,22832528
UCLA,9362535,27242782,2009,66177866,7152122,22420427
UCLA,8768645,28592973,2008,66088264,8047841,20678805
UCLA,8181293,28187935,2007,61309668,6254581,18685859
UCLA,7636782,22963326,2006,52049868,4924446,16525314
UCLA,7144283,21591548,2005,46010599,2063150,15211618
Indiana,12823202,29288840,2014,80386732,6617327,31657363
Indiana,12303478,25322473,2013,72597053,5576170,29394932
Indiana,11810948,25491389,2012,69915060,5309895,27302828
Indiana,11186547,24863542,2011,69314511,7519177,25745245
Indiana,10254216,23606093,2010,65796415,8927557,23008549
Indiana,9568614,21114953,2009,55652636,3287572,21681497
Indiana,8963255,20563238,2008,50920826,2479497,18914836
Indiana,7884638,16453341,2007,43212993,2202924,16672090
Indiana,7453234,17058741,2006,41434508,2022675,14899858
Indiana,7061633,14577002,2005,38805232,1854863,15311734
North Carolina,12392051,28954869,2014,83463221,12252083,29864218
North Carolina,11424567,28251207,2013,82735139,12209359,30850006
North Carolina,10601110,28583298,2012,81921783,12450333,30287042
North Carolina,10343866,24039523,2011,74312602,11339878,28589335
North Carolina,7208755,26085784,2010,72685335,11764697,27626099
North Carolina,7543374,27293350,2009,74462225,12439221,27186280
North Carolina,7521420,23833972,2008,65929532,8395207,26178933
North Carolina,7994861,23798776,2007,63008867,9375731,21839499
North Carolina,7930166,23377456,2006,59943877,9093263,19542992
North Carolina,7500590,23385922,2005,54617880,6315964,17415404
Missouri,9137969,28418521,2014,80230179,11406559,31267130
